FONDO,DTO,CÓDIGO DANE,ENTIDAD TERRITORIAL,APROPIACIÓN VIGENTE,Periodo
FCTI,CASANARE,85000,CASANARE - DTO,16073603982.0,2012
FCTI,PUTUMAYO,86000,PUTUMAYO,17209577722.0,2012
FCTI,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,ARCHIP.SANANDRÉSPROVIDENCIASANT.CATALINA,8138741179.0,2012
FCTI,AMAZONAS,91000,AMAZONAS - DTO,8093847999.0,2012
FCTI,GUAINÍA,94000,GUAINÍA,6778898561.0,2012
FCTI,GUAVIARE,95000,GUAVIARE,9724992519.0,2012
FCTI,VAUPÉS,97000,VAUPÉS,6848420724.0,2012
FCTI,VICHADA,99000,VICHADA,9504795047.0,2012
FDR,ANTIOQUIA,05000,ANTIOQUIA - DTO,69401433523.0,2012
FDR,ATLÁNTICO,08000,ATLÁNTICO - DTO,42382465339.0,2012
FDR,BOGOTÁ D.C.,11000,BOGOTÁ,57351499426.0,2012
FDR,BOLÍVAR,13000,BOLÍVAR - DTO,36098760982.0,2012
FDR,BOYACÁ,15000,BOYACÁ - DTO,29442377332.0,2012
FDR,CALDAS,17000,CALDAS - DTO,21906382246.0,2012
FDR,CAQUETÁ,18000,CAQUETÁ - DTO,19543508508.0,2012
FDR,CAUCA,19000,CAUCA - DTO,36415197725.0,2012
FDR,CESAR,20000,CESAR,17061557731.0,2012
FDR,CÓRDOBA,23000,CÓRDOBA,33848399273.0,2012
FDR,CUNDINAMARCA,25000,CUNDINAMARCA,40181781691.0,2012
FDR,CHOCÓ,27000,CHOCÓ,24310010273.0,2012
FDR,HUILA,41000,HUILA,0.0,2012
FDR,LA GUAJIRA,44000,LAGUAJIRA,21693601816.0,2012
FDR,MAGDALENA,47000,MAGDALENA,35846867646.0,2012
FDR,META,50000,META,16816374086.0,2012
FDR,NARIÑO,52000,NARIÑO,43379132276.0,2012
FDR,NORTE,54000,NORTEDESANTANDER,30198149937.0,2012
FDR,QUINDÍO,63000,QUINDÍO,15002814726.0,2012
FDR,RISARALDA,66000,RISARALDA,21139432680.0,2012
FDR,SANTANDER,68000,SANTANDER,25097083161.0,2012
FDR,SUCRE,70000,SUCRE,31009227151.0,2012
FDR,TOLIMA,73000,TOLIMA,7988606942.0,2012
FDR,VALLE DEL CAUCA,76000,VALLEDELCAUCA,51599560716.0,2012
FDR,ARAUCA,81000,ARAUCA - DTO,0.0,2012
FDR,CASANARE,85000,CASANARE - DTO,0.0,2012
FDR,PUTUMAYO,86000,PUTUMAYO,11957459595.0,2012
FDR,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,ARCHIP.SANANDRÉSPROVIDENCIASANT.CATALINA,6506615719.0,2012
FDR,AMAZONAS,91000,AMAZONAS - DTO,6682470714.0,2012
FDR,GUAINÍA,94000,GUAINÍA,5211498449.0,2012
FDR,GUAVIARE,95000,GUAVIARE,7978777399.0,2012
FDR,VAUPÉS,97000,VAUPÉS,5214906119.0,2012
FDR,VICHADA,99000,VICHADA,7431781698.0,2012
FCR 60%,ANTIOQUIA,05000,ANTIOQUIA - DTO,24457187011.0,2012
FCR 60%,ATLÁNTICO,08000,ATLÁNTICO - DTO,16906987597.0,2012
FCR 60%,BOLÍVAR,13000,BOLÍVAR - DTO,53174894785.0,2012
FCR 60%,BOYACÁ,15000,BOYACÁ - DTO,36628582874.0,2012
FCR 60%,CALDAS,17000,CALDAS - DTO,10448250613.0,2012
FCR 60%,CAQUETÁ,18000,CAQUETÁ - DTO,28839031778.0,2012
FCR 60%,CAUCA,19000,CAUCA - DTO,46353610481.0,2012
FCR 60%,CESAR,20000,CESAR,40207567505.0,2012
FCR 60%,CÓRDOBA,23000,CÓRDOBA,57778224893.0,2012
FCR 60%,CUNDINAMARCA,25000,CUNDINAMARCA,16232022120.0,2012
FCR 60%,CHOCÓ,27000,CHOCÓ,39912799764.0,2012
FCR 60%,HUILA,41000,HUILA,35469404000.0,2012
FCR 60%,LA GUAJIRA,44000,LAGUAJIRA,45505397525.0,2012
FCR 60%,MAGDALENA,47000,MAGDALENA,44045494492.0,2012
FCR 60%,META,50000,META,11619998714.0,2012
FCR 60%,NARIÑO,52000,NARIÑO,52877734487.0,2012
FCR 60%,NORTE,54000,NORTEDESANTANDER,37577704482.0,2012
FCR 60%,QUINDÍO,63000,QUINDÍO,10564981702.0,2012
FCR 60%,RISARALDA,66000,RISARALDA,10435240246.0,2012
FCR 60%,SANTANDER,68000,SANTANDER,14822794309.0,2012
FCR 60%,SUCRE,70000,SUCRE,41604067382.0,2012
FCR 60%,TOLIMA,73000,TOLIMA,15654149077.0,2012
FCR 60%,VALLE DEL CAUCA,76000,VALLEDELCAUCA,17865534214.0,2012
FCR 60%,ARAUCA,81000,ARAUCA - DTO,20641661877.0,2012
FCR 60%,CASANARE,85000,CASANARE - DTO,23035513941.0,2012
FCR 60%,PUTUMAYO,86000,PUTUMAYO,23057267921.0,2012
FCR 60%,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,ARCHIP.SANANDRÉSPROVIDENCIASANT.CATALINA,13463931257.0,2012
FCR 60%,AMAZONAS,91000,AMAZONAS - DTO,14003074569.0,2012
FCR 60%,GUAINÍA,94000,GUAINÍA,12757730197.0,2012
FCR 60%,GUAVIARE,95000,GUAVIARE,15370022299.0,2012
FCR 60%,VAUPÉS,97000,VAUPÉS,12464428781.0,2012
FCR 60%,VICHADA,99000,VICHADA,16542153556.0,2012
FCR 30%,ANTIOQUIA,05031,AMALFI-ANTIOQUIA,661753683.0,2012
FCR 30%,ANTIOQUIA,05038,ANGOSTURA-ANTIOQUIA,358048083.0,2012
FCR 30%,ANTIOQUIA,05040,ANORÍ-ANTIOQUIA,503532862.0,2012
FCR 30%,ANTIOQUIA,05042,SANTAFÉDEANTIOQUIA-ANTIOQUIA,735536999.0,2012
FCR 30%,ANTIOQUIA,05044,ANZA-ANTIOQUIA,230503978.0,2012
FCR 30%,ANTIOQUIA,05051,ARBOLETES-ANTIOQUIA,1136569221.0,2012
FCR 30%,ANTIOQUIA,05055,ARGELIA-ANTIOQUIA,278845827.0,2012
FCR 30%,ANTIOQUIA,05059,ARMENIA-ANTIOQUIA,137279829.0,2012
FCR 30%,ANTIOQUIA,05093,BETULIA-ANTIOQUIA,530168333.0,2012
FCR 30%,ANTIOQUIA,05107,BRICEÑO-ANTIOQUIA,267211943.0,2012
FCR 30%,ANTIOQUIA,05113,BURITICÁ-ANTIOQUIA,205613589.0,2012
FCR 30%,ANTIOQUIA,05120,CÁCERES-ANTIOQUIA,1067408843.0,2012
FCR 30%,ANTIOQUIA,05125,CAICEDO-ANTIOQUIA,246454645.0,2012
FCR 30%,ANTIOQUIA,05134,CAMPAMENTO-ANTIOQUIA,283805535.0,2012
FCR 30%,ANTIOQUIA,05138,CAÑASGORDAS-ANTIOQUIA,514125820.0,2012
FCR 30%,ANTIOQUIA,05147,CAREPA-ANTIOQUIA,1583126668.0,2012
FCR 30%,ANTIOQUIA,05154,CAUCASIA-ANTIOQUIA,3193746040.0,2012
FCR 30%,ANTIOQUIA,05172,CHIGORODÓ-ANTIOQUIA,2162922700.0,2012
FCR 30%,ANTIOQUIA,05197,COCORNÁ-ANTIOQUIA,459630258.0,2012
FCR 30%,ANTIOQUIA,05209,CONCORDIA-ANTIOQUIA,640537152.0,2012
FCR 30%,ANTIOQUIA,05234,DABEIBA-ANTIOQUIA,723841884.0,2012
FCR 30%,ANTIOQUIA,05240,EBÉJICO-ANTIOQUIA,383183395.0,2012
FCR 30%,ANTIOQUIA,05250,ELBAGRE-ANTIOQUIA,1486932818.0,2012
FCR 30%,ANTIOQUIA,05284,FRONTINO-ANTIOQUIA,538434514.0,2012
FCR 30%,ANTIOQUIA,05306,GIRALDO-ANTIOQUIA,124819328.0,2012
FCR 30%,ANTIOQUIA,05310,GÓMEZPLATA-ANTIOQUIA,378193072.0,2012
FCR 30%,ANTIOQUIA,05315,GUADALUPE-ANTIOQUIA,192295854.0,2012
FCR 30%,ANTIOQUIA,05361,ITUANGO-ANTIOQUIA,678071735.0,2012
FCR 30%,ANTIOQUIA,05390,LAPINTADA-ANTIOQUIA,205736051.0,2012
FCR 30%,ANTIOQUIA,05411,LIBORINA-ANTIOQUIA,291061405.0,2012
FCR 30%,ANTIOQUIA,05425,MACEO-ANTIOQUIA,217431166.0,2012
FCR 30%,ANTIOQUIA,05475,MURINDÓ-ANTIOQUIA,132105813.0,2012
FCR 30%,ANTIOQUIA,05480,MUTATÁ-ANTIOQUIA,590388990.0,2012
FCR 30%,ANTIOQUIA,05490,NECOCLÍ-ANTIOQUIA,1767370650.0,2012
FCR 30%,ANTIOQUIA,05495,NECHÍ-ANTIOQUIA,756294297.0,2012
FCR 30%,ANTIOQUIA,05501,OLAYA-ANTIOQUIA,95887695.0,2012
FCR 30%,ANTIOQUIA,05543,PEQUE-ANTIOQUIA,322564737.0,2012
FCR 30%,ANTIOQUIA,05579,PUERTOBERRÍO-ANTIOQUIA,1360276561.0,2012
FCR 30%,ANTIOQUIA,05604,REMEDIOS-ANTIOQUIA,831883926.0,2012
FCR 30%,ANTIOQUIA,05628,SABANALARGA-ANTIOQUIA,250771428.0,2012
FCR 30%,ANTIOQUIA,05642,SALGAR-ANTIOQUIA,545078074.0,2012
FCR 30%,ANTIOQUIA,05647,SANANDRÉSDECUERQUÍA-ANTIOQUIA,200715112.0,2012
FCR 30%,ANTIOQUIA,05652,SANFRANCISCO-ANTIOQUIA,172212096.0,2012
FCR 30%,ANTIOQUIA,05659,SANJUANDEURABÁ-ANTIOQUIA,728679130.0,2012
FCR 30%,ANTIOQUIA,05665,SANPEDRODEURABA-ANTIOQUIA,934874414.0,2012
FCR 30%,ANTIOQUIA,05667,SANRAFAEL-ANTIOQUIA,401889456.0,2012
FCR 30%,ANTIOQUIA,05670,SANROQUE-ANTIOQUIA,527014938.0,2012
FCR 30%,ANTIOQUIA,05736,SEGOVIA-ANTIOQUIA,1183625220.0,2012
FCR 30%,ANTIOQUIA,05790,TARAZÁ-ANTIOQUIA,1201872048.0,2012
FCR 30%,ANTIOQUIA,05792,TARSO-ANTIOQUIA,230901979.0,2012
FCR 30%,ANTIOQUIA,05819,TOLEDO-ANTIOQUIA,188101533.0,2012
FCR 30%,ANTIOQUIA,05837,TURBO-ANTIOQUIA,4507915683.0,2012
FCR 30%,ANTIOQUIA,05842,URAMITA-ANTIOQUIA,252914512.0,2012
FCR 30%,ANTIOQUIA,05847,URRAO-ANTIOQUIA,1311781635.0,2012
FCR 30%,ANTIOQUIA,05854,VALDIVIA-ANTIOQUIA,629576809.0,2012
FCR 30%,ANTIOQUIA,05858,VEGACHÍ-ANTIOQUIA,305113912.0,2012
FCR 30%,ANTIOQUIA,05873,VIGÍADELFUERTE-ANTIOQUIA,169701627.0,2012
FCR 30%,ANTIOQUIA,05885,YALÍ-ANTIOQUIA,247924188.0,2012
FCR 30%,ANTIOQUIA,05890,YOLOMBÓ-ANTIOQUIA,695889947.0,2012
FCR 30%,ANTIOQUIA,05893,YONDÓ-ANTIOQUIA,535862813.0,2012
FCR 30%,ANTIOQUIA,05895,ZARAGOZA-ANTIOQUIA,906646938.0,2012
FCR 30%,ATLÁNTICO,08137,CAMPODELACRUZ-ATLÁNTICO,517738447.0,2012
FCR 30%,ATLÁNTICO,08141,CANDELARIA-ATLÁNTICO,378805381.0,2012
FCR 30%,ATLÁNTICO,08296,GALAPA-ATLÁNTICO,1203188514.0,2012
FCR 30%,ATLÁNTICO,08421,LURUACO-ATLÁNTICO,791777642.0,2012
FCR 30%,ATLÁNTICO,08436,MANATÍ-ATLÁNTICO,463549040.0,2012
FCR 30%,ATLÁNTICO,08520,PALMARDEVARELA-ATLÁNTICO,761468313.0,2012
FCR 30%,ATLÁNTICO,08549,PIOJÓ-ATLÁNTICO,156261429.0,2012
FCR 30%,ATLÁNTICO,08558,POLONUEVO-ATLÁNTICO,455833938.0,2012
FCR 30%,ATLÁNTICO,08560,PONEDERA-ATLÁNTICO,650670877.0,2012
FCR 30%,ATLÁNTICO,08606,REPELÓN-ATLÁNTICO,767928180.0,2012
FCR 30%,ATLÁNTICO,08634,SABANAGRANDE-ATLÁNTICO,909494178.0,2012
FCR 30%,ATLÁNTICO,08638,SABANALARGA-ATLÁNTICO,2903480638.0,2012
FCR 30%,ATLÁNTICO,08675,SANTALUCÍA-ATLÁNTICO,363313946.0,2012
FCR 30%,ATLÁNTICO,08770,SUAN-ATLÁNTICO,277284437.0,2012
FCR 30%,ATLÁNTICO,08832,TUBARÁ-ATLÁNTICO,336862168.0,2012
FCR 30%,ATLÁNTICO,08849,USIACURÍ-ATLÁNTICO,282642147.0,2012
FCR 30%,BOLÍVAR,13006,ACHÍ-BOLÍVAR,670877097.0,2012
FCR 30%,BOLÍVAR,13030,ALTOSDELROSARIO-BOLÍVAR,395215281.0,2012
FCR 30%,BOLÍVAR,13042,ARENAL-BOLÍVAR,542016525.0,2012
FCR 30%,BOLÍVAR,13052,ARJONA-BOLÍVAR,2099701726.0,2012
FCR 30%,BOLÍVAR,13062,ARROYOHONDO-BOLÍVAR,291888023.0,2012
FCR 30%,BOLÍVAR,13074,BARRANCODELOBA-BOLÍVAR,516575058.0,2012
FCR 30%,BOLÍVAR,13140,CALAMAR-BOLÍVAR,686888995.0,2012
FCR 30%,BOLÍVAR,13160,CANTAGALLO-BOLÍVAR,268344716.0,2012
FCR 30%,BOLÍVAR,13188,CICUCO-BOLÍVAR,339372638.0,2012
FCR 30%,BOLÍVAR,13212,CÓRDOBA-BOLÍVAR,384928478.0,2012
FCR 30%,BOLÍVAR,13222,CLEMENCIA-BOLÍVAR,375039677.0,2012
FCR 30%,BOLÍVAR,13244,ELCARMENDEBOLÍVAR-BOLÍVAR,2224214899.0,2012
FCR 30%,BOLÍVAR,13248,ELGUAMO-BOLÍVAR,237300615.0,2012
FCR 30%,BOLÍVAR,13268,ELPEÑÓN-BOLÍVAR,272906423.0,2012
FCR 30%,BOLÍVAR,13300,HATILLODELOBA-BOLÍVAR,360895323.0,2012
FCR 30%,BOLÍVAR,13430,MAGANGUÉ-BOLÍVAR,3775256540.0,2012
FCR 30%,BOLÍVAR,13433,MAHATES-BOLÍVAR,760427387.0,2012
FCR 30%,BOLÍVAR,13440,MARGARITA-BOLÍVAR,295623112.0,2012
FCR 30%,BOLÍVAR,13442,MARÍALABAJA-BOLÍVAR,1441652517.0,2012
FCR 30%,BOLÍVAR,13458,MONTECRISTO-BOLÍVAR,606033502.0,2012
FCR 30%,BOLÍVAR,13468,MOMPÓS-BOLÍVAR,1322190899.0,2012
FCR 30%,BOLÍVAR,13473,MORALES-BOLÍVAR,620820781.0,2012
FCR 30%,BOLÍVAR,13490,NOROSÍ-BOLÍVAR,162231449.0,2012
FCR 30%,BOLÍVAR,13549,PINILLOS-BOLÍVAR,740251783.0,2012
FCR 30%,BOLÍVAR,13580,REGIDOR-BOLÍVAR,304226063.0,2012
FCR 30%,BOLÍVAR,13600,RÍOVIEJO-BOLÍVAR,527872172.0,2012
FCR 30%,BOLÍVAR,13620,SANCRISTÓBAL-BOLÍVAR,202766349.0,2012
FCR 30%,BOLÍVAR,13647,SANESTANISLAO-BOLÍVAR,487888350.0,2012
FCR 30%,BOLÍVAR,13650,SANFERNANDO-BOLÍVAR,412268105.0,2012
FCR 30%,BOLÍVAR,13654,SANJACINTO-BOLÍVAR,657283822.0,2012
FCR 30%,BOLÍVAR,13655,SANJACINTODELCAUCA-BOLÍVAR,385265248.0,2012
FCR 30%,BOLÍVAR,13657,SANJUANNEPOMUCENO-BOLÍVAR,1014046055.0,2012
FCR 30%,BOLÍVAR,13667,SANMARTÍNDELOBA-BOLÍVAR,496062684.0,2012
FCR 30%,BOLÍVAR,13670,SANPABLO-BOLÍVAR,955111249.0,2012
FCR 30%,BOLÍVAR,13673,SANTACATALINA-BOLÍVAR,391572038.0,2012
FCR 30%,BOLÍVAR,13683,SANTAROSA-BOLÍVAR,647272559.0,2012
FCR 30%,BOLÍVAR,13688,SANTAROSADELSUR-BOLÍVAR,1204596826.0,2012
FCR 30%,BOLÍVAR,13744,SIMITÍ-BOLÍVAR,596603933.0,2012
FCR 30%,BOLÍVAR,13760,SOPLAVIENTO-BOLÍVAR,256710832.0,2012
FCR 30%,BOLÍVAR,13780,TALAIGUANUEVO-BOLÍVAR,344424193.0,2012
FCR 30%,BOLÍVAR,13810,TIQUISIO-BOLÍVAR,639067609.0,2012
FCR 30%,BOLÍVAR,13836,TURBACO-BOLÍVAR,2119448713.0,2012
FCR 30%,BOLÍVAR,13838,TURBANÁ-BOLÍVAR,441934509.0,2012
FCR 30%,BOLÍVAR,13873,VILLANUEVA-BOLÍVAR,582000347.0,2012
FCR 30%,BOLÍVAR,13894,ZAMBRANO-BOLÍVAR,348496052.0,2012
FCR 30%,BOYACÁ,15022,ALMEIDA-BOYACÁ,58383728.0,2012
FCR 30%,BOYACÁ,15047,AQUITANIA-BOYACÁ,481673407.0,2012
FCR 30%,BOYACÁ,15090,BERBEO-BOYACÁ,58965422.0,2012
FCR 30%,BOYACÁ,15092,BETÉITIVA-BOYACÁ,67323449.0,2012
FCR 30%,BOYACÁ,15097,BOAVITA-BOYACÁ,232218445.0,2012
FCR 30%,BOYACÁ,15104,BOYACÁ-BOYACÁ,142576308.0,2012
FCR 30%,BOYACÁ,15106,BRICEÑO-BOYACÁ,80855493.0,2012
FCR 30%,BOYACÁ,15109,BUENAVISTA-BOYACÁ,178273962.0,2012
FCR 30%,BOYACÁ,15114,BUSBANZÁ-BOYACÁ,32574875.0,2012
FCR 30%,BOYACÁ,15131,CALDAS-BOYACÁ,115420374.0,2012
FCR 30%,BOYACÁ,15135,CAMPOHERMOSO-BOYACÁ,119920850.0,2012
FCR 30%,BOYACÁ,15172,CHINAVITA-BOYACÁ,110399435.0,2012
FCR 30%,BOYACÁ,15180,CHISCAS-BOYACÁ,140953687.0,2012
FCR 30%,BOYACÁ,15183,CHITA-BOYACÁ,303613753.0,2012
FCR 30%,BOYACÁ,15185,CHITARAQUE-BOYACÁ,183417364.0,2012
FCR 30%,BOYACÁ,15187,CHIVATÁ-BOYACÁ,178825041.0,2012
FCR 30%,BOYACÁ,15204,CÓMBITA-BOYACÁ,431617091.0,2012
FCR 30%,BOYACÁ,15212,COPER-BOYACÁ,117073610.0,2012
FCR 30%,BOYACÁ,15218,COVARACHÍA-BOYACÁ,91907682.0,2012
FCR 30%,BOYACÁ,15223,CUBARÁ-BOYACÁ,205184973.0,2012
FCR 30%,BOYACÁ,15224,CUCAITA-BOYACÁ,142606924.0,2012
FCR 30%,BOYACÁ,15226,CUÍTIVA-BOYACÁ,59516501.0,2012
FCR 30%,BOYACÁ,15232,CHÍQUIZA-BOYACÁ,173253023.0,2012
FCR 30%,BOYACÁ,15244,ELCOCUY-BOYACÁ,163639761.0,2012
FCR 30%,BOYACÁ,15248,ELESPINO-BOYACÁ,127146104.0,2012
FCR 30%,BOYACÁ,15276,FLORESTA-BOYACÁ,142331384.0,2012
FCR 30%,BOYACÁ,15293,GACHANTIVÁ-BOYACÁ,85172276.0,2012
FCR 30%,BOYACÁ,15296,GAMEZA-BOYACÁ,155985890.0,2012
FCR 30%,BOYACÁ,15317,GUACAMAYAS-BOYACÁ,55567103.0,2012
FCR 30%,BOYACÁ,15325,GUAYATÁ-BOYACÁ,168079006.0,2012
FCR 30%,BOYACÁ,15332,GÜICÁN-BOYACÁ,220798869.0,2012
FCR 30%,BOYACÁ,15367,JENESANO-BOYACÁ,232279676.0,2012
FCR 30%,BOYACÁ,15368,JERICÓ-BOYACÁ,129289188.0,2012
FCR 30%,BOYACÁ,15377,LABRANZAGRANDE-BOYACÁ,158771899.0,2012
FCR 30%,BOYACÁ,15401,LAVICTORIA-BOYACÁ,51250320.0,2012
FCR 30%,BOYACÁ,15403,LAUVITA-BOYACÁ,86458126.0,2012
FCR 30%,BOYACÁ,15425,MACANAL-BOYACÁ,146831860.0,2012
FCR 30%,BOYACÁ,15442,MARIPÍ-BOYACÁ,232953216.0,2012
FCR 30%,BOYACÁ,15464,MONGUA-BOYACÁ,149679100.0,2012
FCR 30%,BOYACÁ,15476,MOTAVITA-BOYACÁ,234851376.0,2012
FCR 30%,BOYACÁ,15480,MUZO-BOYACÁ,288367242.0,2012
FCR 30%,BOYACÁ,15500,OICATÁ-BOYACÁ,86672435.0,2012
FCR 30%,BOYACÁ,15507,OTANCHE-BOYACÁ,325044592.0,2012
FCR 30%,BOYACÁ,15511,PACHAVITA-BOYACÁ,81896419.0,2012
FCR 30%,BOYACÁ,15514,PÁEZ-BOYACÁ,93469072.0,2012
FCR 30%,BOYACÁ,15518,PAJARITO-BOYACÁ,58108188.0,2012
FCR 30%,BOYACÁ,15522,PANQUEBA-BOYACÁ,48709235.0,2012
FCR 30%,BOYACÁ,15531,PAUNA-BOYACÁ,327432599.0,2012
FCR 30%,BOYACÁ,15533,PAYA-BOYACÁ,79171641.0,2012
FCR 30%,BOYACÁ,15542,PESCA-BOYACÁ,261548078.0,2012
FCR 30%,BOYACÁ,15550,PISBA-BOYACÁ,42708600.0,2012
FCR 30%,BOYACÁ,15572,PUERTOBOYACÁ-BOYACÁ,1651246119.0,2012
FCR 30%,BOYACÁ,15580,QUÍPAMA-BOYACÁ,250006041.0,2012
FCR 30%,BOYACÁ,15599,RAMIRIQUÍ-BOYACÁ,313961787.0,2012
FCR 30%,BOYACÁ,15600,RÁQUIRA-BOYACÁ,406726702.0,2012
FCR 30%,BOYACÁ,15621,RONDÓN-BOYACÁ,88111362.0,2012
FCR 30%,BOYACÁ,15632,SABOYÁ-BOYACÁ,384652939.0,2012
FCR 30%,BOYACÁ,15638,SÁCHICA-BOYACÁ,116920533.0,2012
FCR 30%,BOYACÁ,15664,SANJOSÉDEPARE-BOYACÁ,165170535.0,2012
FCR 30%,BOYACÁ,15673,SANMATEO-BOYACÁ,122063934.0,2012
FCR 30%,BOYACÁ,15681,SANPABLODEBORBUR-BOYACÁ,326452904.0,2012
FCR 30%,BOYACÁ,15686,SANTANA-BOYACÁ,237239384.0,2012
FCR 30%,BOYACÁ,15696,SANTASOFÍA-BOYACÁ,86580588.0,2012
FCR 30%,BOYACÁ,15720,SATIVANORTE-BOYACÁ,75405937.0,2012
FCR 30%,BOYACÁ,15723,SATIVASUR-BOYACÁ,36248733.0,2012
FCR 30%,BOYACÁ,15740,SIACHOQUE-BOYACÁ,274008580.0,2012
FCR 30%,BOYACÁ,15753,SOATÁ-BOYACÁ,239841700.0,2012
FCR 30%,BOYACÁ,15755,SOCOTÁ-BOYACÁ,268099792.0,2012
FCR 30%,BOYACÁ,15761,SOMONDOCO-BOYACÁ,118114537.0,2012
FCR 30%,BOYACÁ,15762,SORA-BOYACÁ,92336299.0,2012
FCR 30%,BOYACÁ,15763,SOTAQUIRÁ-BOYACÁ,247679264.0,2012
FCR 30%,BOYACÁ,15764,SORACÁ-BOYACÁ,169273010.0,2012
FCR 30%,BOYACÁ,15774,SUSACÓN-BOYACÁ,99990170.0,2012
FCR 30%,BOYACÁ,15776,SUTAMARCHÁN-BOYACÁ,183386748.0,2012
FCR 30%,BOYACÁ,15778,SUTATENZA-BOYACÁ,129289188.0,2012
FCR 30%,BOYACÁ,15790,TASCO-BOYACÁ,200286495.0,2012
FCR 30%,BOYACÁ,15804,TIBANÁ-BOYACÁ,286438467.0,2012
FCR 30%,BOYACÁ,15808,TINJACÁ-BOYACÁ,92366915.0,2012
FCR 30%,BOYACÁ,15810,TIPACOQUE-BOYACÁ,104368184.0,2012
FCR 30%,BOYACÁ,15814,TOCA-BOYACÁ,315339483.0,2012
FCR 30%,BOYACÁ,15816,TOGÜÍ-BOYACÁ,154944964.0,2012
FCR 30%,BOYACÁ,15822,TOTA-BOYACÁ,168079006.0,2012
FCR 30%,BOYACÁ,15839,TUTAZÁ-BOYACÁ,61139121.0,2012
FCR 30%,BOYACÁ,15842,UMBITA-BOYACÁ,315278252.0,2012
FCR 30%,BOYACÁ,15879,VIRACACHÁ-BOYACÁ,100969866.0,2012
FCR 30%,BOYACÁ,15897,ZETAQUIRA-BOYACÁ,144566315.0,2012
FCR 30%,CALDAS,17442,MARMATO-CALDAS,272661499.0,2012
FCR 30%,CALDAS,17495,NORCASIA-CALDAS,199919109.0,2012
FCR 30%,CAQUETÁ,18029,ALBANIA-CAQUETÁ,196520791.0,2012
FCR 30%,CAQUETÁ,18094,BELÉNDELOSANDAQUIES-CAQUETÁ,348434821.0,2012
FCR 30%,CAQUETÁ,18150,CARTAGENADELCHAIRÁ-CAQUETÁ,976878858.0,2012
FCR 30%,CAQUETÁ,18205,CURILLO-CAQUETÁ,352598527.0,2012
FCR 30%,CAQUETÁ,18247,ELDONCELLO-CAQUETÁ,673112027.0,2012
FCR 30%,CAQUETÁ,18256,ELPAUJIL-CAQUETÁ,592868844.0,2012
FCR 30%,CAQUETÁ,18410,LAMONTAÑITA-CAQUETÁ,708442295.0,2012
FCR 30%,CAQUETÁ,18460,MILÁN-CAQUETÁ,356976541.0,2012
FCR 30%,CAQUETÁ,18479,MORELIA-CAQUETÁ,115022373.0,2012
