FONDO,DTO,CÓDIGO DANE,ENTIDAD TERRITORIAL,APROPIACIÓN VIGENTE,Periodo
FCR 30%,ANTIOQUIA,05310,GÓMEZPLATA-ANTIOQUIA," 378,193,072 ",2012
FCR 30%,ANTIOQUIA,05315,GUADALUPE-ANTIOQUIA," 192,295,854 ",2012
FCR 30%,ANTIOQUIA,05361,ITUANGO-ANTIOQUIA," 678,071,735 ",2012
FCR 30%,ANTIOQUIA,05390,LAPINTADA-ANTIOQUIA," 205,736,051 ",2012
FCR 30%,ANTIOQUIA,05411,LIBORINA-ANTIOQUIA," 291,061,405 ",2012
FCR 30%,ANTIOQUIA,05425,MACEO-ANTIOQUIA," 217,431,166 ",2012
FCR 30%,ANTIOQUIA,05475,MURINDÓ-ANTIOQUIA," 132,105,813 ",2012
FCR 30%,ANTIOQUIA,05480,MUTATÁ-ANTIOQUIA," 590,388,990 ",2012
FCR 30%,ANTIOQUIA,05490,NECOCLÍ-ANTIOQUIA," 1,767,370,650 ",2012
FCR 30%,ANTIOQUIA,05495,NECHÍ-ANTIOQUIA," 756,294,297 ",2012
FCR 30%,ANTIOQUIA,05501,OLAYA-ANTIOQUIA," 95,887,695 ",2012
FCR 30%,ANTIOQUIA,05543,PEQUE-ANTIOQUIA," 322,564,737 ",2012
FCR 30%,ANTIOQUIA,05579,PUERTOBERRÍO-ANTIOQUIA," 1,360,276,561 ",2012
FCR 30%,ANTIOQUIA,05604,REMEDIOS-ANTIOQUIA," 831,883,926 ",2012
FCR 30%,ANTIOQUIA,05628,SABANALARGA-ANTIOQUIA," 250,771,428 ",2012
FCR 30%,ANTIOQUIA,05642,SALGAR-ANTIOQUIA," 545,078,074 ",2012
FCR 30%,ANTIOQUIA,05647,SANANDRÉSDECUERQUÍA-ANTIOQUIA," 200,715,112 ",2012
FCR 30%,ANTIOQUIA,05652,SANFRANCISCO-ANTIOQUIA," 172,212,096 ",2012
FCR 30%,ANTIOQUIA,05659,SANJUANDEURABÁ-ANTIOQUIA," 728,679,130 ",2012
FCR 30%,ANTIOQUIA,05665,SANPEDRODEURABA-ANTIOQUIA," 934,874,414 ",2012
FCR 30%,ANTIOQUIA,05667,SANRAFAEL-ANTIOQUIA," 401,889,456 ",2012
FCR 30%,ANTIOQUIA,05670,SANROQUE-ANTIOQUIA," 527,014,938 ",2012
FCR 30%,ANTIOQUIA,05736,SEGOVIA-ANTIOQUIA," 1,183,625,220 ",2012
FCR 30%,ANTIOQUIA,05790,TARAZÁ-ANTIOQUIA," 1,201,872,048 ",2012
FCR 30%,ANTIOQUIA,05792,TARSO-ANTIOQUIA," 230,901,979 ",2012
FCR 30%,ANTIOQUIA,05819,TOLEDO-ANTIOQUIA," 188,101,533 ",2012
FCR 30%,ANTIOQUIA,05837,TURBO-ANTIOQUIA," 4,507,915,683 ",2012
FCR 30%,ANTIOQUIA,05842,URAMITA-ANTIOQUIA," 252,914,512 ",2012
FCR 30%,ANTIOQUIA,05847,URRAO-ANTIOQUIA," 1,311,781,635 ",2012
FCR 30%,ANTIOQUIA,05854,VALDIVIA-ANTIOQUIA," 629,576,809 ",2012
FCR 30%,ANTIOQUIA,05858,VEGACHÍ-ANTIOQUIA," 305,113,912 ",2012
FCR 30%,ANTIOQUIA,05873,VIGÍADELFUERTE-ANTIOQUIA," 169,701,627 ",2012
FCR 30%,ANTIOQUIA,05885,YALÍ-ANTIOQUIA," 247,924,188 ",2012
FCR 30%,ANTIOQUIA,05890,YOLOMBÓ-ANTIOQUIA," 695,889,947 ",2012
FCR 30%,ANTIOQUIA,05893,YONDÓ-ANTIOQUIA," 535,862,813 ",2012
FCR 30%,ANTIOQUIA,05895,ZARAGOZA-ANTIOQUIA," 906,646,938 ",2012
FCR 30%,ATLÁNTICO,08137,CAMPODELACRUZ-ATLÁNTICO," 517,738,447 ",2012
FCR 30%,ATLÁNTICO,08141,CANDELARIA-ATLÁNTICO," 378,805,381 ",2012
FCR 30%,ATLÁNTICO,08296,GALAPA-ATLÁNTICO," 1,203,188,514 ",2012
FCR 30%,ATLÁNTICO,08421,LURUACO-ATLÁNTICO," 791,777,642 ",2012
FCR 30%,ATLÁNTICO,08436,MANATÍ-ATLÁNTICO," 463,549,040 ",2012
FCR 30%,ATLÁNTICO,08520,PALMARDEVARELA-ATLÁNTICO," 761,468,313 ",2012
FCR 30%,ATLÁNTICO,08549,PIOJÓ-ATLÁNTICO," 156,261,429 ",2012
FCR 30%,ATLÁNTICO,08558,POLONUEVO-ATLÁNTICO," 455,833,938 ",2012
FCR 30%,ATLÁNTICO,08560,PONEDERA-ATLÁNTICO," 650,670,877 ",2012
FCR 30%,ATLÁNTICO,08606,REPELÓN-ATLÁNTICO," 767,928,180 ",2012
FCR 30%,ATLÁNTICO,08634,SABANAGRANDE-ATLÁNTICO," 909,494,178 ",2012
FCR 30%,ATLÁNTICO,08638,SABANALARGA-ATLÁNTICO," 2,903,480,638 ",2012
FCR 30%,ATLÁNTICO,08675,SANTALUCÍA-ATLÁNTICO," 363,313,946 ",2012
FCR 30%,ATLÁNTICO,08770,SUAN-ATLÁNTICO," 277,284,437 ",2012
FCR 30%,ATLÁNTICO,08832,TUBARÁ-ATLÁNTICO," 336,862,168 ",2012
FCR 30%,ATLÁNTICO,08849,USIACURÍ-ATLÁNTICO," 282,642,147 ",2012
FCR 30%,BOLÍVAR,13006,ACHÍ-BOLÍVAR," 670,877,097 ",2012
FCR 30%,BOLÍVAR,13030,ALTOSDELROSARIO-BOLÍVAR," 395,215,281 ",2012
FCR 30%,BOLÍVAR,13042,ARENAL-BOLÍVAR," 542,016,525 ",2012
FCR 30%,BOLÍVAR,13052,ARJONA-BOLÍVAR," 2,099,701,726 ",2012
FCR 30%,BOLÍVAR,13062,ARROYOHONDO-BOLÍVAR," 291,888,023 ",2012
FCR 30%,BOLÍVAR,13074,BARRANCODELOBA-BOLÍVAR," 516,575,058 ",2012
FCR 30%,BOLÍVAR,13140,CALAMAR-BOLÍVAR," 686,888,995 ",2012
FCR 30%,BOLÍVAR,13160,CANTAGALLO-BOLÍVAR," 268,344,716 ",2012
FCR 30%,BOLÍVAR,13188,CICUCO-BOLÍVAR," 339,372,638 ",2012
FCR 30%,BOLÍVAR,13212,CÓRDOBA-BOLÍVAR," 384,928,478 ",2012
FCR 30%,BOLÍVAR,13222,CLEMENCIA-BOLÍVAR," 375,039,677 ",2012
FCR 30%,BOLÍVAR,13244,ELCARMENDEBOLÍVAR-BOLÍVAR," 2,224,214,899 ",2012
FCR 30%,BOLÍVAR,13248,ELGUAMO-BOLÍVAR," 237,300,615 ",2012
FCR 30%,BOLÍVAR,13268,ELPEÑÓN-BOLÍVAR," 272,906,423 ",2012
FCR 30%,BOLÍVAR,13300,HATILLODELOBA-BOLÍVAR," 360,895,323 ",2012
FCR 30%,BOLÍVAR,13430,MAGANGUÉ-BOLÍVAR," 3,775,256,540 ",2012
FCR 30%,BOLÍVAR,13433,MAHATES-BOLÍVAR," 760,427,387 ",2012
FCR 30%,BOLÍVAR,13440,MARGARITA-BOLÍVAR," 295,623,112 ",2012
FCR 30%,BOLÍVAR,13442,MARÍALABAJA-BOLÍVAR," 1,441,652,517 ",2012
FCR 30%,BOLÍVAR,13458,MONTECRISTO-BOLÍVAR," 606,033,502 ",2012
FCR 30%,BOLÍVAR,13468,MOMPÓS-BOLÍVAR," 1,322,190,899 ",2012
FCR 30%,BOLÍVAR,13473,MORALES-BOLÍVAR," 620,820,781 ",2012
FCR 30%,BOLÍVAR,13490,NOROSÍ-BOLÍVAR," 162,231,449 ",2012
FCR 30%,BOLÍVAR,13549,PINILLOS-BOLÍVAR," 740,251,783 ",2012
FCR 30%,BOLÍVAR,13580,REGIDOR-BOLÍVAR," 304,226,063 ",2012
FCR 30%,BOLÍVAR,13600,RÍOVIEJO-BOLÍVAR," 527,872,172 ",2012
FCR 30%,BOLÍVAR,13620,SANCRISTÓBAL-BOLÍVAR," 202,766,349 ",2012
FCR 30%,BOLÍVAR,13647,SANESTANISLAO-BOLÍVAR," 487,888,350 ",2012
FCR 30%,BOLÍVAR,13650,SANFERNANDO-BOLÍVAR," 412,268,105 ",2012
FCR 30%,BOLÍVAR,13654,SANJACINTO-BOLÍVAR," 657,283,822 ",2012
FCR 30%,BOLÍVAR,13655,SANJACINTODELCAUCA-BOLÍVAR," 385,265,248 ",2012
FCR 30%,BOLÍVAR,13657,SANJUANNEPOMUCENO-BOLÍVAR," 1,014,046,055 ",2012
FCR 30%,BOLÍVAR,13667,SANMARTÍNDELOBA-BOLÍVAR," 496,062,684 ",2012
FCR 30%,BOLÍVAR,13670,SANPABLO-BOLÍVAR," 955,111,249 ",2012
FCR 30%,BOLÍVAR,13673,SANTACATALINA-BOLÍVAR," 391,572,038 ",2012
FCR 30%,BOLÍVAR,13683,SANTAROSA-BOLÍVAR," 647,272,559 ",2012
FCR 30%,BOLÍVAR,13688,SANTAROSADELSUR-BOLÍVAR," 1,204,596,826 ",2012
FCR 30%,BOLÍVAR,13744,SIMITÍ-BOLÍVAR," 596,603,933 ",2012
FCR 30%,BOLÍVAR,13760,SOPLAVIENTO-BOLÍVAR," 256,710,832 ",2012
FCR 30%,BOLÍVAR,13780,TALAIGUANUEVO-BOLÍVAR," 344,424,193 ",2012
FCR 30%,BOLÍVAR,13810,TIQUISIO-BOLÍVAR," 639,067,609 ",2012
FCR 30%,BOLÍVAR,13836,TURBACO-BOLÍVAR," 2,119,448,713 ",2012
FCR 30%,BOLÍVAR,13838,TURBANÁ-BOLÍVAR," 441,934,509 ",2012
FCR 30%,BOLÍVAR,13873,VILLANUEVA-BOLÍVAR," 582,000,347 ",2012
FCR 30%,BOLÍVAR,13894,ZAMBRANO-BOLÍVAR," 348,496,052 ",2012
FCR 30%,BOYACÁ,15022,ALMEIDA-BOYACÁ," 58,383,728 ",2012
FCR 30%,BOYACÁ,15047,AQUITANIA-BOYACÁ," 481,673,407 ",2012
FCR 30%,BOYACÁ,15090,BERBEO-BOYACÁ," 58,965,422 ",2012
FCR 30%,BOYACÁ,15092,BETÉITIVA-BOYACÁ," 67,323,449 ",2012
FCR 30%,BOYACÁ,15097,BOAVITA-BOYACÁ," 232,218,445 ",2012
FCR 30%,BOYACÁ,15104,BOYACÁ-BOYACÁ," 142,576,308 ",2012
FCR 30%,BOYACÁ,15106,BRICEÑO-BOYACÁ," 80,855,493 ",2012
FCR 30%,BOYACÁ,15109,BUENAVISTA-BOYACÁ," 178,273,962 ",2012
FCR 30%,BOYACÁ,15114,BUSBANZÁ-BOYACÁ," 32,574,875 ",2012
FCR 30%,BOYACÁ,15131,CALDAS-BOYACÁ," 115,420,374 ",2012
FCR 30%,BOYACÁ,15135,CAMPOHERMOSO-BOYACÁ," 119,920,850 ",2012
FCR 30%,BOYACÁ,15172,CHINAVITA-BOYACÁ," 110,399,435 ",2012
FCR 30%,BOYACÁ,15180,CHISCAS-BOYACÁ," 140,953,687 ",2012
FCR 30%,BOYACÁ,15183,CHITA-BOYACÁ," 303,613,753 ",2012
FCR 30%,BOYACÁ,15185,CHITARAQUE-BOYACÁ," 183,417,364 ",2012
FCR 30%,BOYACÁ,15187,CHIVATÁ-BOYACÁ," 178,825,041 ",2012
FCR 30%,BOYACÁ,15204,CÓMBITA-BOYACÁ," 431,617,091 ",2012
FCR 30%,BOYACÁ,15212,COPER-BOYACÁ," 117,073,610 ",2012
FCR 30%,BOYACÁ,15218,COVARACHÍA-BOYACÁ," 91,907,682 ",2012
FCR 30%,BOYACÁ,15223,CUBARÁ-BOYACÁ," 205,184,973 ",2012
FCR 30%,BOYACÁ,15224,CUCAITA-BOYACÁ," 142,606,924 ",2012
FCR 30%,BOYACÁ,15226,CUÍTIVA-BOYACÁ," 59,516,501 ",2012
FCR 30%,BOYACÁ,15232,CHÍQUIZA-BOYACÁ," 173,253,023 ",2012
FCR 30%,BOYACÁ,15244,ELCOCUY-BOYACÁ," 163,639,761 ",2012
FCR 30%,BOYACÁ,15248,ELESPINO-BOYACÁ," 127,146,104 ",2012
FCR 30%,BOYACÁ,15276,FLORESTA-BOYACÁ," 142,331,384 ",2012
FCR 30%,BOYACÁ,15293,GACHANTIVÁ-BOYACÁ," 85,172,276 ",2012
FCR 30%,BOYACÁ,15296,GAMEZA-BOYACÁ," 155,985,890 ",2012
FCR 30%,BOYACÁ,15317,GUACAMAYAS-BOYACÁ," 55,567,103 ",2012
FCR 30%,BOYACÁ,15325,GUAYATÁ-BOYACÁ," 168,079,006 ",2012
FCR 30%,BOYACÁ,15332,GÜICÁN-BOYACÁ," 220,798,869 ",2012
FCR 30%,BOYACÁ,15367,JENESANO-BOYACÁ," 232,279,676 ",2012
FCR 30%,BOYACÁ,15368,JERICÓ-BOYACÁ," 129,289,188 ",2012
FCR 30%,BOYACÁ,15377,LABRANZAGRANDE-BOYACÁ," 158,771,899 ",2012
FCR 30%,BOYACÁ,15401,LAVICTORIA-BOYACÁ," 51,250,320 ",2012
FCR 30%,BOYACÁ,15403,LAUVITA-BOYACÁ," 86,458,126 ",2012
FCR 30%,BOYACÁ,15425,MACANAL-BOYACÁ," 146,831,860 ",2012
FCR 30%,BOYACÁ,15442,MARIPÍ-BOYACÁ," 232,953,216 ",2012
FCR 30%,BOYACÁ,15464,MONGUA-BOYACÁ," 149,679,100 ",2012
FCR 30%,BOYACÁ,15476,MOTAVITA-BOYACÁ," 234,851,376 ",2012
FCR 30%,BOYACÁ,15480,MUZO-BOYACÁ," 288,367,242 ",2012
FCR 30%,BOYACÁ,15500,OICATÁ-BOYACÁ," 86,672,435 ",2012
FCR 30%,BOYACÁ,15507,OTANCHE-BOYACÁ," 325,044,592 ",2012
FCR 30%,BOYACÁ,15511,PACHAVITA-BOYACÁ," 81,896,419 ",2012
FCR 30%,BOYACÁ,15514,PÁEZ-BOYACÁ," 93,469,072 ",2012
FCR 30%,BOYACÁ,15518,PAJARITO-BOYACÁ," 58,108,188 ",2012
FCR 30%,BOYACÁ,15522,PANQUEBA-BOYACÁ," 48,709,235 ",2012
FCR 30%,BOYACÁ,15531,PAUNA-BOYACÁ," 327,432,599 ",2012
FCR 30%,BOYACÁ,15533,PAYA-BOYACÁ," 79,171,641 ",2012
FCR 30%,BOYACÁ,15542,PESCA-BOYACÁ," 261,548,078 ",2012
FCR 30%,BOYACÁ,15550,PISBA-BOYACÁ," 42,708,600 ",2012
FCR 30%,BOYACÁ,15572,PUERTOBOYACÁ-BOYACÁ," 1,651,246,119 ",2012
FCR 30%,BOYACÁ,15580,QUÍPAMA-BOYACÁ," 250,006,041 ",2012
FCR 30%,BOYACÁ,15599,RAMIRIQUÍ-BOYACÁ," 313,961,787 ",2012
FCR 30%,BOYACÁ,15600,RÁQUIRA-BOYACÁ," 406,726,702 ",2012
FCR 30%,BOYACÁ,15621,RONDÓN-BOYACÁ," 88,111,362 ",2012
FCR 30%,BOYACÁ,15632,SABOYÁ-BOYACÁ," 384,652,939 ",2012
FCR 30%,BOYACÁ,15638,SÁCHICA-BOYACÁ," 116,920,533 ",2012
FCR 30%,BOYACÁ,15664,SANJOSÉDEPARE-BOYACÁ," 165,170,535 ",2012
FCR 30%,BOYACÁ,15673,SANMATEO-BOYACÁ," 122,063,934 ",2012
FCR 30%,BOYACÁ,15681,SANPABLODEBORBUR-BOYACÁ," 326,452,904 ",2012
FCR 30%,BOYACÁ,15686,SANTANA-BOYACÁ," 237,239,384 ",2012
FCR 30%,BOYACÁ,15696,SANTASOFÍA-BOYACÁ," 86,580,588 ",2012
FCR 30%,BOYACÁ,15720,SATIVANORTE-BOYACÁ," 75,405,937 ",2012
FCR 30%,BOYACÁ,15723,SATIVASUR-BOYACÁ," 36,248,733 ",2012
FCR 30%,BOYACÁ,15740,SIACHOQUE-BOYACÁ," 274,008,580 ",2012
FCR 30%,BOYACÁ,15753,SOATÁ-BOYACÁ," 239,841,700 ",2012
FCR 30%,BOYACÁ,15755,SOCOTÁ-BOYACÁ," 268,099,792 ",2012
FCR 30%,BOYACÁ,15761,SOMONDOCO-BOYACÁ," 118,114,537 ",2012
FCR 30%,BOYACÁ,15762,SORA-BOYACÁ," 92,336,299 ",2012
FCR 30%,BOYACÁ,15763,SOTAQUIRÁ-BOYACÁ," 247,679,264 ",2012
FCR 30%,BOYACÁ,15764,SORACÁ-BOYACÁ," 169,273,010 ",2012
FCR 30%,BOYACÁ,15774,SUSACÓN-BOYACÁ," 99,990,170 ",2012
FCR 30%,BOYACÁ,15776,SUTAMARCHÁN-BOYACÁ," 183,386,748 ",2012
FCR 30%,BOYACÁ,15778,SUTATENZA-BOYACÁ," 129,289,188 ",2012
FCR 30%,BOYACÁ,15790,TASCO-BOYACÁ," 200,286,495 ",2012
FCR 30%,BOYACÁ,15804,TIBANÁ-BOYACÁ," 286,438,467 ",2012
FCR 30%,BOYACÁ,15808,TINJACÁ-BOYACÁ," 92,366,915 ",2012
FCR 30%,BOYACÁ,15810,TIPACOQUE-BOYACÁ," 104,368,184 ",2012
